scaffold	rRNA16S
151	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured;
438	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Uliginosibacterium;
619	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;
620	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Dermatophilaceae;
993	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter;
1360	Bacteria;Candidate division TM7;
1466	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Lacibacter;
2571	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio;
2812	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured;
3687	Unclassified;
4372	Unclassified;
4666	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;
5652	Bacteria;
5653	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;uncultured;
7044	Unclassified;
7623	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Flavihumibacter;
7749	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus;
7750	Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;
10308	Unclassified;
11829	Unclassified;
12819	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Meganema;
13194	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;uncultured;
13523	Unclassified;
13678	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;
13963	Bacteria;
22315	Unclassified;
25706	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;
26174	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;
27276	Unclassified;
27391	Unclassified;
27664	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Roseateles;
28867	Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
29668	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;uncultured;
34707	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
35503	Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter;
37792	Bacteria;Candidate division TM7;
41999	Unclassified;
43920	Bacteria;
49748	Unclassified;
50509	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
56394	Unclassified;
59706	Unclassified;
59867	Bacteria;Candidate division TM7;
72590	Unclassified;
77767	Unclassified;
78808	Bacteria;Candidate division SR1;
81377	Unclassified;
92582	Bacteria;Acidobacteria;Acidobacteria;Subgroup 3;Family Incertae Sedis;
