scaffold1	scaffold2	connections
6146	908	1
61698	96571	1
19158	7855	1
40499	49271	1
18593	42386	1
11594	1161	1
42643	97235	1
47251	61653	2
1734	6111	22
3667	578	1
106	34848	1
26309	31082	10
1322	20521	1
17931	7124	2
37218	41124	1
352	440	1
20946	29828	1
61274	63551	1
1284	4486	27
42800	8305	1
28834	64900	1
41045	43699	1
14842	28457	2
40650	90571	1
29687	9607	8
63440	63603	1
7151	760	1
15275	53876	4
42377	42378	2
30749	45224	1
46616	62438	1
46126	62391	1
61868	7769	1
2321	5721	1
3046	3678	1
25477	8658	3
15972	25267	4
23716	37860	1
20953	20954	3
49402	61811	2
23005	6221	3
12006	17128	6
25180	56925	1
25391	6975	2
12230	15018	2
4317	9648	4
373	38650	1
15622	53423	1
46632	47095	1
14017	16316	16
58423	9276	1
21587	8966	1
6517	6646	1
33787	41271	1
3453	5612	181
38783	55079	1
35004	5754	5
11322	1300	1
25054	7132	24
160	4178	27
48851	8527	1
43179	43184	1
52314	52319	2
38390	63386	1
11817	12545	1
17791	28795	1
30455	3909	1
13570	38244	1
1762	1974	11
27442	6192	2
26511	39780	11
39780	7684	1
18362	18363	7
29319	33461	1
2690	446	1
11751	7119	1
16424	6521	21
17082	3190	1
25218	29907	1
3209	6004	1
3019	3020	16
23605	25212	2
15681	19570	2
1069	26795	1
32031	81438	1
12973	5283	1
16032	2363	8
12459	27009	2
16367	18172	4
20927	9328	2
28337	45321	1
1025	6121	1
233	4424	15
1235	9306	1
2394	867	4
39424	61890	1
27391	42099	2
449	5602	1
31144	3872	2
28137	925	1
28908	31240	2
21094	23951	2
33476	70407	1
6765	9544	29
20957	58857	3
431	43332	1
13996	22670	1
25257	725	1
4307	446	1
14688	42715	1
14735	8132	1
11779	6979	19
18027	57990	1
34375	36332	1
5923	8398	7
8047	8378	4
1813	7967	19
13167	5880	18
11025	23735	1
19671	51705	4
11463	37105	1
12354	8002	1
34870	43303	1
12871	26049	2
368	597	1
3988	4372	9
2898	2899	45
48341	48342	1
2217	43188	1
14306	43649	3
2351	7001	3
25150	6249	1
11025	5943	14
9197	945	1
33427	50124	1
31727	57408	1
4171	9327	23
2679	8330	8
30859	41474	1
3016	5871	3
11675	26165	2
51032	58830	1
1541	5227	4
35919	35920	2
1962	3337	6
27929	29985	1
10507	20004	21
2222	5689	1
17636	8130	1
1194	18803	16
11884	14658	2
26350	5678	1
35755	65777	2
28576	45273	3
29698	40374	4
26451	8041	1
20165	7181	3
13594	4527	28
21111	2812	1
17732	53407	1
2059	20937	1
2208	4497	11
27979	37089	9
11641	63658	2
13058	9992	1
46843	62859	1
22590	5074	1
14731	3551	2
22202	22203	5
32421	32741	1
10320	3122	1
25288	5393	25
51628	8281	13
2480	6238	5
1111	41726	1
4849	5279	23
10340	19651	20
1788	19112	8
32998	51876	4
21726	4655	1
