scaffold1	scaffold2	connections
28982	46083	25
51818	63661	9
33996	45554	2
38055	38056	1
26314	62402	2
3385	35089	4
26309	31082	12
1322	20521	2
5082	56952	10
10655	13560	1
73469	85719	2
14878	52828	1
13101	27537	33
83176	83303	3
18329	19588	10
12706	16145	1
15275	53876	90
42377	42378	2
46126	62391	10
28553	47783	4
25477	8658	3
12568	63115	6
15972	25267	17
20953	20954	4
10227	14001	11
14982	7807	1
49402	61811	2
12006	17128	10
65171	8265	48
373	38650	73
23499	32304	49
14017	16316	16
6517	6646	8
16663	56078	1
76557	83012	3
3453	5612	139
15573	42097	6
12119	56903	10
32859	9515	31
25054	7132	4
160	4178	4
11281	23439	8
28573	3016	6
73197	73343	1
52314	52319	35
78343	80832	1
77460	91294	1
89195	89692	9
26511	39780	1
47333	641	1
33922	52240	2
20031	71026	6
18362	18363	10
30636	41866	1
13250	25343	15
2175	2901	7
3019	3020	9
70694	76547	3
18216	38707	1
88597	88815	1
16367	18172	6
20927	9328	1
10965	48435	2
20599	30553	3
2344	5637	63
2394	867	5
14753	5872	12
42175	79690	4
10876	12111	2
17079	34785	1
92785	95814	3
31144	3872	6
26974	27243	1
21094	23951	5
33476	70407	9
35669	35670	3
39141	5874	1
6765	9544	1
21848	52003	14
22776	34727	21
73212	76504	1
54727	63947	60
72009	85925	6
5923	8398	9
33303	67923	4
45409	45410	10
1813	7967	6
44203	44204	9
23405	43551	3
3988	4372	22
2898	2899	54
48341	48342	3
14306	43649	2
41423	44231	7
33427	50124	1
29186	58160	6
76520	76521	2
16188	24265	1
16985	33532	6
27707	28629	10
72406	76485	1
18593	45020	8
1873	3846	45
89196	91855	1
31534	36616	8
10507	20004	12
58760	9936	1
1194	18803	20
35755	65777	147
30823	49242	61
29698	40374	1
20165	7181	1
13594	4527	8
33506	44446	2
24861	41617	2
37248	6216	3
17732	53407	7
349	57	9
2881	28995	1
13291	36472	7
67650	68496	1
27931	30536	1
12994	38963	11
1045	26358	2
27979	37089	7
13790	18871	1
11641	63658	2
15172	49673	1
14798	844	8
24167	25257	1
13058	9992	5
19494	9049	14
62316	68114	1
38681	63007	7
23252	62855	13
2749	4511	4
10320	3122	1
21142	55524	7
25288	5393	12
51628	8281	10
72560	77531	1
13721	95992	1
31057	54935	1
25061	376	1
10340	19651	17
1544	3840	12
1788	19112	45
37981	44410	4
49312	995	9
32998	51876	3
36398	40572	3
21252	37785	4
35917	48373	4
60016	68720	2
60288	62169	7
8896	9693	1
299	64885	1
24679	39165	2
23735	38692	1
20724	29329	3
38177	62595	1
10277	30531	9
71797	75336	1
40180	65933	12
24173	5210	1
19200	29239	3
47009	53177	2
15492	23516	5
22643	53172	2
14203	1875	14
78181	82602	2
27253	74729	2
47979	93384	1
43506	44448	4
80881	83776	3
31081	38756	11
88849	90354	6
4090	6075	1
19640	4917	14
22745	8967	2
1322	31395	2
12441	2809	104
34363	61620	3
16292	60192	3
58604	65029	1
40457	526	9
80634	89852	1
22058	7663	1
41592	48659	2
10229	37966	3
38138	59746	1
13936	29634	4
87964	91955	3
6351	7583	3
43580	62203	7
39917	46352	3
20360	4493	23
12964	4297	8
36887	7732	11
12419	299	3
42540	45161	1
16616	8634	16
59253	61387	73
3146	47570	4
33609	40514	1
16467	52951	2
27357	4225	11
33142	33585	5
2968	7562	1
74023	74294	1
2281	25885	2
12308	5544	11
24938	31348	10
12557	8302	4
11368	1624	9
28418	34092	11
12956	22859	32
13615	13616	8
3915	42576	5
56994	61696	1
16963	16964	1
13529	9296	3
25107	8645	12
27252	52060	63
12443	22364	25
13553	45246	11
39201	8781	13
7456	7457	70
1404	40716	1
24481	28890	94
40375	58331	2
12642	33126	37
2698	43173	17
70147	74183	4
19495	3968	2
13593	19053	15
15872	768	7
1218	20913	2
2913	44589	4
5850	9755	8
14930	39938	20
59099	59235	5
52765	58596	4
14412	3469	2
67864	73028	1
16306	30456	8
22615	44591	7
11301	18969	1
88470	88471	2
11185	40716	2
7930	7931	8
39945	39946	6
19998	36587	3
32759	63794	2
28398	42797	3
2839	6922	1
11742	6406	8
28284	6067	2
79078	80165	3
28786	30088	7
10094	10095	8
67069	73733	2
26994	4006	3
92787	93870	1
42953	63411	2
58917	58918	1
45022	47050	2
58021	89358	15
18731	6364	1
12299	16966	3
14745	16559	16
69852	70232	3
16526	43553	5
36427	63689	1
21033	5441	13
11852	9703	24
13591	31951	8
1642	57569	199
89843	95596	2
25707	45497	9
21258	46528	37
20021	22559	1
29950	30822	10
78109	85016	1
32705	72846	71
14266	446	2
11242	5300	5
50386	50391	7
53407	75203	1
24582	6192	26
71528	83496	2
3190	7160	2
17690	6685	1
11080	43070	3
3668	8729	14
2953	5161	100
36066	45350	4
45612	51776	4
