scaffold	phylum	count	all.phylum.assignments	class	all.class.assignments
48674	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
19455	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
28689	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
12890	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
57700	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
82290	Deinococcus-Thermus	1	Deinococcus-Thermus	Deinococci	Deinococci
69814	Alveolata	1	Alveolata	Ciliophora	Ciliophora
3509	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria
65441	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
27587	Bacteroidetes/Chlorobi group	4	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;Bacteroidetes
8054	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	NA;Gammaproteobacteria
89241	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
12663	Deinococcus-Thermus	5	Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus;Deinococcus-Thermus	Deinococci	Deinococci;Deinococci;Deinococci;Deinococci;Deinococci
5759	Proteobacteria	2	Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria
24384	Proteobacteria	1	Proteobacteria	NA	NA
78218	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
9997	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
84965	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
90541	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
6862	Proteobacteria	1	Proteobacteria	NA	NA
5974	unclassified Bacteria	27	NA;NA;Proteobacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;NA;Firmicutes	candidate division TM7	NA;NA;Alphaproteobacteria;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;NA;Clostridia
12637	unclassified Bacteria	3	NA;unclassified Bacteria;unclassified Bacteria	candidate division TM7	NA;candidate division TM7;candidate division TM7
37308	Proteobacteria	5	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	NA;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
59556	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
60201	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
9363	Proteobacteria	1	Proteobacteria	NA	NA
18324	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
1363	Bacteroidetes/Chlorobi group	5	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes;NA;NA
7862	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
15172	Proteobacteria	1	Proteobacteria	NA	NA
33988	Nitrospirae	1	Nitrospirae	Nitrospira <class>	Nitrospira <class>
3497	Firmicutes	1	Firmicutes	Bacilli	Bacilli
29142	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
75448	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
75300	Bacteroidetes/Chlorobi group	3	Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group;Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes;Bacteroidetes;Bacteroidetes
14102	Proteobacteria	6	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Betaproteobacteria	NA;NA;NA;Betaproteobacteria;Betaproteobacteria;Betaproteobacteria
13986	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
57403	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
26299	Actinobacteria <phylum>	3	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria
85028	Actinobacteria <phylum>	1	Actinobacteria <phylum>	Actinobacteria	Actinobacteria
14490	unclassified Bacteria	20	NA;NA;NA;NA;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;unclassified Bacteria;NA	candidate division TM7	NA;NA;NA;NA;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;candidate division TM7;NA
2387	Proteobacteria	1	Proteobacteria	NA	NA
28828	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
15101	Actinobacteria <phylum>	5	Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>;Actinobacteria <phylum>	Actinobacteria	Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria;Actinobacteria
15021	Proteobacteria	1	Proteobacteria	Betaproteobacteria	Betaproteobacteria
87137	Proteobacteria	1	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria
27881	Proteobacteria	2	Proteobacteria;Proteobacteria	Gammaproteobacteria	Gammaproteobacteria;Gammaproteobacteria
51589	Proteobacteria	1	Proteobacteria	NA	NA
15526	Proteobacteria	1	Proteobacteria	NA	NA
42437	Proteobacteria	2	Proteobacteria;Proteobacteria	Betaproteobacteria	Betaproteobacteria;Betaproteobacteria
58011	Proteobacteria	1	Proteobacteria	NA	NA
71976	Bacteroidetes/Chlorobi group	1	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes
94582	Chloroflexi <phylum>	1	Chloroflexi <phylum>	Anaerolineae	Anaerolineae
5752	Proteobacteria	2	Proteobacteria;Proteobacteria	NA	NA
495	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
68523	Proteobacteria	1	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria
18695	Proteobacteria	4	Proteobacteria;Proteobacteria;Proteobacteria;Proteobacteria	Alphaproteobacteria	Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria;Alphaproteobacteria
