scaffold orf hmm.id
34065 4 PF00162.14
28127 2 PF00162.14
65834 5 PF00162.14
93059 1 PF00162.14
3687 36 PF00162.14
83810 3 PF00162.14
1837 4 PF00162.14
64601 2 PF00162.14
10584 5 PF00162.14
7764 6 PF00162.14
4545 17 PF00162.14
9815 119 PF00162.14
30547 1 PF00162.14
92171 2 PF00162.14
5513 11 PF00162.14
73192 4 PF00162.14
1465 7 PF00162.14
118 10 PF00162.14
7461 73 PF00162.14
431 229 PF00162.14
11838 4 PF00162.14
12663 103 PF00162.14
993 9 PF00162.14
15436 7 PF00162.14
12819 556 PF00162.14
4703 5 PF00162.14
2963 13 PF00162.14
1377 13 PF00162.14
4666 384 PF00162.14
88979 3 PF00162.14
59391 4 PF00162.14
756 23 PF00162.14
202 20 PF00162.14
86657 2 PF00162.14
91093 2 PF00162.14
16282 14 PF00162.14
24915 11 PF00162.14
86362 2 PF00162.14
4078 818 PF00162.14
6445 41 PF00162.14
1619 39 PF00162.14
10874 3 PF00162.14
9760 8 PF00162.14
9833 9 PF00162.14
13098 5 PF00162.14
15839 13 PF00162.14
25294 1 PF00162.14
1641 49 PF00162.14
6428 4 PF00162.14
62126 2 PF00162.14
56437 2 PF00162.14
510 4 PF00162.14
69714 1 PF00162.14
16220 2 PF00162.14
96431 2 PF00162.14
93070 2 PF00162.14
86761 1 PF00162.14
50787 1 PF00162.14
19279 2 PF00162.14
15888 7 PF00162.14
30696 2 PF00162.14
95315 1 PF00162.14
21111 1 PF00162.14
69387 4 PF00162.14
69470 3 PF00162.14
7113 1 PF00162.14
2114 3 PF00162.14
43636 2 PF00162.14
58353 1 PF00162.14
61136 7 PF00162.14
83220 1 PF00162.14
59393 1 PF00162.14
58172 2 PF00162.14
6261 7 PF00162.14
19981 4 PF00162.14
76588 1 PF00162.14
30953 2 PF00162.14
84388 3 PF00162.14
94958 2 PF00162.14
15888 8 PF00162.14
89430 3 PF00162.14
22740 1 PF00162.14
78999 1 PF00162.14
19328 1 PF00162.14
74782 7 PF00162.14
65648 1 PF00162.14
87382 2 PF00162.14
23367 2 PF00162.14
44573 3 PF00162.14
94301 2 PF00162.14
96745 1 PF00162.14
5513 46 PF00276.15
8320 4 PF00276.15
33876 8 PF00276.15
69713 2 PF00276.15
1963 63 PF00276.15
52156 17 PF00276.15
7521 213 PF00276.15
460 133 PF00276.15
22657 2 PF00276.15
71315 2 PF00276.15
71316 2 PF00276.15
32325 3 PF00276.15
3233 253 PF00276.15
1443 69 PF00276.15
30596 34 PF00276.15
5796 30 PF00276.15
21584 173 PF00276.15
15212 2 PF00276.15
92165 1 PF00276.15
6451 5 PF00276.15
8055 14 PF00276.15
5277 15 PF00276.15
42353 2 PF00276.15
72885 5 PF00276.15
9021 2 PF00276.15
17343 3 PF00276.15
70976 2 PF00276.15
62190 3 PF00276.15
27707 5 PF00276.15
25129 1 PF00276.15
13332 5 PF00276.15
12616 2 PF00276.15
8356 5 PF00276.15
54896 36 PF00276.15
483 60 PF00276.15
37043 2 PF00276.15
43687 3 PF00276.15
1149 9 PF00276.15
4452 4 PF00276.15
55337 3 PF00276.15
91518 5 PF00276.15
14254 2 PF00276.15
21732 2 PF00276.15
16711 2 PF00276.15
119 163 PF00276.15
60448 2 PF00276.15
1030 32 PF00276.15
8762 5 PF00276.15
30471 4 PF00276.15
55073 16 PF00276.15
9225 4 PF00276.15
4067 5 PF00276.15
46957 2 PF00276.15
2919 10 PF00276.15
46088 2 PF00276.15
4666 15 PF00276.15
32492 4 PF00276.15
27898 4 PF00276.15
27211 2 PF00276.15
50345 2 PF00276.15
39620 2 PF00276.15
40793 5 PF00276.15
41929 3 PF00276.15
46336 2 PF00276.15
40973 3 PF00276.15
3383 42 PF00276.15
1029 14 PF00276.15
14490 19 PF00276.15
90044 2 PF00276.15
78807 5 PF00276.15
70716 1 PF00276.15
5974 46 PF00276.15
21879 10 PF00276.15
77951 4 PF00281.14
28317 10 PF00281.14
47064 2 PF00281.14
5796 20 PF00281.14
9021 12 PF00281.14
3088 10 PF00281.14
65212 4 PF00281.14
1963 53 PF00281.14
52590 7 PF00281.14
89298 3 PF00281.14
460 143 PF00281.14
7935 7 PF00281.14
5277 5 PF00281.14
22755 4 PF00281.14
37308 2 PF00281.14
6451 15 PF00281.14
1443 78 PF00281.14
32412 3 PF00281.14
32491 6 PF00281.14
1149 19 PF00281.14
30596 24 PF00281.14
46957 12 PF00281.14
36448 4 PF00281.14
13332 15 PF00281.14
7521 223 PF00281.14
61203 1 PF00281.14
21584 163 PF00281.14
119 153 PF00281.14
44169 3 PF00281.14
2920 1 PF00281.14
1030 42 PF00281.14
4452 14 PF00281.14
8320 14 PF00281.14
41070 3 PF00281.14
4706 2 PF00281.14
4106 17 PF00281.14
56706 3 PF00281.14
37043 12 PF00281.14
52156 7 PF00281.14
32526 11 PF00281.14
8055 5 PF00281.14
64161 4 PF00281.14
8351 20 PF00281.14
87597 2 PF00281.14
86921 7 PF00281.14
91140 6 PF00281.14
54032 6 PF00281.14
33652 1 PF00281.14
37561 2 PF00281.14
64734 2 PF00281.14
36316 9 PF00281.14
54896 46 PF00281.14
483 70 PF00281.14
1062 8 PF00281.14
74079 2 PF00281.14
5513 56 PF00281.14
46088 11 PF00281.14
1029 24 PF00281.14
29481 3 PF00281.14
4666 5 PF00281.14
3383 30 PF00281.14
16968 4 PF00281.14
8357 6 PF00281.14
14490 9 PF00281.14
55073 6 PF00281.14
3233 243 PF00281.14
26286 6 PF00281.14
89827 2 PF00281.14
15881 11 PF00281.14
45159 2 PF00281.14
32498 17 PF00281.14
5974 35 PF00281.14
58341 8 PF00281.14
71823 5 PF00281.14
88792 6 PF00281.14
71027 2 PF00281.14
18894 6 PF00281.14
38450 1 PF00281.14
90933 3 PF00281.14
91381 1 PF00281.14
82281 9 PF00281.14
32492 6 PF00297.17
1149 7 PF00297.17
1030 30 PF00297.17
36671 2 PF00297.17
119 165 PF00297.17
58321 2 PF00297.17
16711 4 PF00297.17
4452 2 PF00297.17
4666 17 PF00297.17
30471 6 PF00297.17
27707 7 PF00297.17
50128 2 PF00297.17
50129 2 PF00297.17
52156 19 PF00297.17
30596 36 PF00297.17
17343 5 PF00297.17
40793 3 PF00297.17
25213 2 PF00297.17
8055 16 PF00297.17
54478 2 PF00297.17
385 2 PF00297.17
13332 3 PF00297.17
